CellType,Factor,ENCODE_BAM,ENCODE_BED,Model-k,Model-theta,Model-frac,Model-spot,Model-pcr,ModelFile
GM12878,CUX1,ENCFF576YWR,ENCFF721SDD,21.22,8.62,0.00038,0.01293,0.92,s3://chipmunk-encode-models/GM12878_CUX1_ENCFF576YWR_ENCFF721SDD-1.9.json
GM12878,CUX1,ENCFF812ZZO,ENCFF721SDD,21.20,8.67,0.00035,0.01116,0.93,s3://chipmunk-encode-models/GM12878_CUX1_ENCFF812ZZO_ENCFF721SDD-1.9.json
GM12878,E2F4,ENCFF285WSG,ENCFF433PFN,21.27,8.52,0.00019,0.01102,0.95,s3://chipmunk-encode-models/GM12878_E2F4_ENCFF285WSG_ENCFF433PFN-1.9.json
GM12878,E2F4,ENCFF960CBP,ENCFF433PFN,21.21,8.65,0.00019,0.00832,0.95,s3://chipmunk-encode-models/GM12878_E2F4_ENCFF960CBP_ENCFF433PFN-1.9.json
GM12878,EBF1,ENCFF243EMB,ENCFF394DLH,21.06,8.96,0.00139,0.18250,0.94,s3://chipmunk-encode-models/GM12878_EBF1_ENCFF243EMB_ENCFF394DLH-1.9.json
GM12878,EBF1,ENCFF305MCD,ENCFF394DLH,21.09,8.90,0.00146,0.10572,0.91,s3://chipmunk-encode-models/GM12878_EBF1_ENCFF305MCD_ENCFF394DLH-1.9.json
GM12878,EBF1,ENCFF317XPZ,ENCFF868VSY,21.35,8.35,0.00163,0.16957,0.88,s3://chipmunk-encode-models/GM12878_EBF1_ENCFF317XPZ_ENCFF868VSY-1.9.json
GM12878,EBF1,ENCFF522BBQ,ENCFF868VSY,21.15,8.77,0.00160,0.09543,0.91,s3://chipmunk-encode-models/GM12878_EBF1_ENCFF522BBQ_ENCFF868VSY-1.9.json
GM12878,EED,ENCFF219DUV,ENCFF242VUO,11.49,16.46,0.00209,0.10875,0.94,s3://chipmunk-encode-models/GM12878_EED_ENCFF219DUV_ENCFF242VUO-1.9.json
GM12878,EED,ENCFF398MUP,ENCFF242VUO,11.33,16.92,0.00209,0.10771,0.94,s3://chipmunk-encode-models/GM12878_EED_ENCFF398MUP_ENCFF242VUO-1.9.json
GM12878,EGR1,ENCFF857OMT,ENCFF002CGW,20.90,9.34,0.00044,0.02308,0.93,s3://chipmunk-encode-models/GM12878_EGR1_ENCFF857OMT_ENCFF002CGW-1.9.json
GM12878,ELF1,ENCFF063CST,ENCFF002CGX,16.18,11.27,0.00084,0.10385,0.70,s3://chipmunk-encode-models/GM12878_ELF1_ENCFF063CST_ENCFF002CGX-1.9.json
GM12878,ELF1,ENCFF641VSS,ENCFF002CGX,15.28,11.90,0.00073,0.12415,0.83,s3://chipmunk-encode-models/GM12878_ELF1_ENCFF641VSS_ENCFF002CGX-1.9.json
GM12878,ELK1,ENCFF199VLV,ENCFF556JBS,21.24,8.58,0.00031,0.01289,0.96,s3://chipmunk-encode-models/GM12878_ELK1_ENCFF199VLV_ENCFF556JBS-1.9.json
GM12878,ELK1,ENCFF556BST,ENCFF556JBS,21.45,8.15,0.00032,0.01039,0.94,s3://chipmunk-encode-models/GM12878_ELK1_ENCFF556BST_ENCFF556JBS-1.9.json
GM12878,EP300,ENCFF175QVH,ENCFF462GHD,21.35,8.36,0.00072,0.05446,0.97,s3://chipmunk-encode-models/GM12878_EP300_ENCFF175QVH_ENCFF462GHD-1.9.json
GM12878,EP300,ENCFF344EBI,ENCFF222XPQ,21.26,8.54,0.00095,0.05009,0.92,s3://chipmunk-encode-models/GM12878_EP300_ENCFF344EBI_ENCFF222XPQ-1.9.json
GM12878,EP300,ENCFF369KBK,ENCFF302XID,20.99,9.12,0.00015,0.00888,0.94,s3://chipmunk-encode-models/GM12878_EP300_ENCFF369KBK_ENCFF302XID-1.9.json
GM12878,EP300,ENCFF410XFU,ENCFF222XPQ,21.22,8.62,0.00092,0.03031,0.93,s3://chipmunk-encode-models/GM12878_EP300_ENCFF410XFU_ENCFF222XPQ-1.9.json
GM12878,EP300,ENCFF431HRP,ENCFF302XID,20.94,9.24,0.00015,0.01248,0.94,s3://chipmunk-encode-models/GM12878_EP300_ENCFF431HRP_ENCFF302XID-1.9.json
GM12878,EP300,ENCFF947DUD,ENCFF462GHD,21.30,8.47,0.00071,0.03361,0.96,s3://chipmunk-encode-models/GM12878_EP300_ENCFF947DUD_ENCFF462GHD-1.9.json
GM12878,ESRRA,ENCFF063WPO,ENCFF195PBG,21.26,8.55,0.00022,0.00827,0.90,s3://chipmunk-encode-models/GM12878_ESRRA_ENCFF063WPO_ENCFF195PBG-1.9.json
GM12878,ESRRA,ENCFF790QIK,ENCFF195PBG,21.21,8.65,0.00020,0.00597,0.91,s3://chipmunk-encode-models/GM12878_ESRRA_ENCFF790QIK_ENCFF195PBG-1.9.json
