CellType,Factor,ENCODE_BAM,ENCODE_BED,Model-k,Model-theta,Model-frac,Model-spot,Model-pcr,ModelFile
GM12878,NFIC,ENCFF041PWP,ENCFF628QJU,8.52,23.16,0.00262,0.13909,0.86,s3://chipmunk-encode-models/GM12878_NFIC_ENCFF041PWP_ENCFF628QJU-1.9.json
GM12878,NFIC,ENCFF219MMF,ENCFF628QJU,7.79,25.39,0.00255,0.08440,0.83,s3://chipmunk-encode-models/GM12878_NFIC_ENCFF219MMF_ENCFF628QJU-1.9.json
GM12878,NFYA,ENCFF576YMK,ENCFF414JLN,20.91,9.30,0.00004,0.00327,0.91,s3://chipmunk-encode-models/GM12878_NFYA_ENCFF576YMK_ENCFF414JLN-1.9.json
GM12878,NFYA,ENCFF803BZL,ENCFF414JLN,20.92,9.28,0.00004,0.00539,0.89,s3://chipmunk-encode-models/GM12878_NFYA_ENCFF803BZL_ENCFF414JLN-1.9.json
GM12878,NFYB,ENCFF126JJU,ENCFF467NRS,20.97,9.18,0.00064,0.03337,0.87,s3://chipmunk-encode-models/GM12878_NFYB_ENCFF126JJU_ENCFF467NRS-1.9.json
GM12878,NFYB,ENCFF966JJV,ENCFF467NRS,21.07,8.94,0.00065,0.11331,0.72,s3://chipmunk-encode-models/GM12878_NFYB_ENCFF966JJV_ENCFF467NRS-1.9.json
GM12878,NR2C2,ENCFF123VIR,ENCFF721FTG,21.20,8.67,0.00005,0.00289,0.98,s3://chipmunk-encode-models/GM12878_NR2C2_ENCFF123VIR_ENCFF721FTG-1.9.json
GM12878,NR2C2,ENCFF817KGL,ENCFF721FTG,21.52,8.03,0.00005,0.00387,0.97,s3://chipmunk-encode-models/GM12878_NR2C2_ENCFF817KGL_ENCFF721FTG-1.9.json
GM12878,NRF1,ENCFF450FPZ,ENCFF931XAL,21.02,9.06,0.00016,0.02617,0.91,s3://chipmunk-encode-models/GM12878_NRF1_ENCFF450FPZ_ENCFF931XAL-1.9.json
GM12878,NRF1,ENCFF819KIB,ENCFF931XAL,20.97,9.18,0.00016,0.01605,0.93,s3://chipmunk-encode-models/GM12878_NRF1_ENCFF819KIB_ENCFF931XAL-1.9.json
GM12878,PAX5,ENCFF051KDT,ENCFF199FYD,21.28,8.49,0.00083,0.05440,0.97,s3://chipmunk-encode-models/GM12878_PAX5_ENCFF051KDT_ENCFF199FYD-1.9.json
GM12878,PAX5,ENCFF364VOW,ENCFF339KUO,20.94,9.24,0.00071,0.06243,0.96,s3://chipmunk-encode-models/GM12878_PAX5_ENCFF364VOW_ENCFF339KUO-1.9.json
GM12878,PAX5,ENCFF498EOO,ENCFF199FYD,21.01,9.08,0.00084,0.05954,0.96,s3://chipmunk-encode-models/GM12878_PAX5_ENCFF498EOO_ENCFF199FYD-1.9.json
GM12878,PAX5,ENCFF958KJV,ENCFF339KUO,20.93,9.28,0.00070,0.06576,0.83,s3://chipmunk-encode-models/GM12878_PAX5_ENCFF958KJV_ENCFF339KUO-1.9.json
GM12878,PBX3,ENCFF304FLU,ENCFF717IXP,20.91,9.30,0.00037,0.02503,0.84,s3://chipmunk-encode-models/GM12878_PBX3_ENCFF304FLU_ENCFF717IXP-1.9.json
GM12878,PBX3,ENCFF995SFW,ENCFF717IXP,20.83,9.51,0.00035,0.04471,0.91,s3://chipmunk-encode-models/GM12878_PBX3_ENCFF995SFW_ENCFF717IXP-1.9.json
GM12878,PML,ENCFF338SSL,ENCFF002CHM,4.60,41.68,0.00090,0.06261,0.93,s3://chipmunk-encode-models/GM12878_PML_ENCFF338SSL_ENCFF002CHM-1.9.json
GM12878,PML,ENCFF356TGQ,ENCFF002CHM,4.51,42.11,0.00094,0.04878,0.94,s3://chipmunk-encode-models/GM12878_PML_ENCFF356TGQ_ENCFF002CHM-1.9.json
GM12878,POLR2A,ENCFF020RXG,ENCFF120VUT,2.47,56.87,0.00438,0.27753,0.84,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF020RXG_ENCFF120VUT-1.9.json
GM12878,POLR2A,ENCFF108FQI,ENCFF002CPG,3.68,46.60,0.00115,0.14977,0.96,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF108FQI_ENCFF002CPG-1.9.json
GM12878,POLR2A,ENCFF299JMF,ENCFF002CPG,3.90,45.29,0.00117,0.16214,0.94,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF299JMF_ENCFF002CPG-1.9.json
GM12878,POLR2A,ENCFF673EZL,ENCFF002DAK,3.83,45.70,0.00081,0.10431,0.91,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF673EZL_ENCFF002DAK-1.9.json
GM12878,POLR2A,ENCFF726CVN,ENCFF120VUT,2.78,53.61,0.00441,0.30072,0.84,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF726CVN_ENCFF120VUT-1.9.json
GM12878,POLR2A,ENCFF754VIZ,ENCFF002CPG,3.30,49.24,0.00116,0.14059,0.97,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF754VIZ_ENCFF002CPG-1.9.json
GM12878,POLR2A,ENCFF769YCE,ENCFF002DAK,6.51,30.36,0.00081,0.01838,0.64,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF769YCE_ENCFF002DAK-1.9.json
GM12878,POLR2A,ENCFF976IKR,ENCFF002CPG,3.36,48.76,0.00117,0.20859,0.95,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF976IKR_ENCFF002CPG-1.9.json
GM12878,POLR2A,ENCFF987KRO,ENCFF002CPG,3.44,48.25,0.00116,0.14843,0.97,s3://chipmunk-encode-models/GM12878_POLR2A_ENCFF987KRO_ENCFF002CPG-1.9.json
GM12878,POLR2AphosphoS2,ENCFF015AEA,ENCFF630NFM,4.02,44.62,0.00101,0.05928,0.97,s3://chipmunk-encode-models/GM12878_POLR2AphosphoS2_ENCFF015AEA_ENCFF630NFM-1.9.json
GM12878,POLR2AphosphoS2,ENCFF625MLW,ENCFF630NFM,4.63,41.59,0.00104,0.05663,0.79,s3://chipmunk-encode-models/GM12878_POLR2AphosphoS2_ENCFF625MLW_ENCFF630NFM-1.9.json
GM12878,POLR2AphosphoS5,ENCFF111JMU,ENCFF125SQT,4.68,41.33,0.00444,0.17726,0.84,s3://chipmunk-encode-models/GM12878_POLR2AphosphoS5_ENCFF111JMU_ENCFF125SQT-1.9.json
GM12878,POLR2AphosphoS5,ENCFF522HMN,ENCFF125SQT,3.41,48.41,0.00432,0.20279,0.92,s3://chipmunk-encode-models/GM12878_POLR2AphosphoS5_ENCFF522HMN_ENCFF125SQT-1.9.json
GM12878,POU2F2,ENCFF086HBQ,ENCFF002CHP,4.02,44.62,0.00082,0.04464,0.89,s3://chipmunk-encode-models/GM12878_POU2F2_ENCFF086HBQ_ENCFF002CHP-1.9.json
GM12878,POU2F2,ENCFF289QVU,ENCFF002CHP,6.32,29.16,0.00085,0.05242,0.96,s3://chipmunk-encode-models/GM12878_POU2F2_ENCFF289QVU_ENCFF002CHP-1.9.json
GM12878,POU2F2,ENCFF683LPH,ENCFF002CHP,6.89,26.25,0.00085,0.04795,0.90,s3://chipmunk-encode-models/GM12878_POU2F2_ENCFF683LPH_ENCFF002CHP-1.9.json
GM12878,RAD21,ENCFF401LTK,ENCFF753RGL,20.89,9.35,0.00104,0.17236,0.83,s3://chipmunk-encode-models/GM12878_RAD21_ENCFF401LTK_ENCFF753RGL-1.9.json
GM12878,RAD21,ENCFF448FSM,ENCFF753RGL,20.90,9.34,0.00105,0.19200,0.67,s3://chipmunk-encode-models/GM12878_RAD21_ENCFF448FSM_ENCFF753RGL-1.9.json
GM12878,RBBP5,ENCFF168LEX,ENCFF814CZI,11.13,19.45,0.00011,0.00225,0.94,s3://chipmunk-encode-models/GM12878_RBBP5_ENCFF168LEX_ENCFF814CZI-1.9.json
GM12878,RBBP5,ENCFF725MHO,ENCFF814CZI,10.06,22.06,0.00011,0.00212,0.92,s3://chipmunk-encode-models/GM12878_RBBP5_ENCFF725MHO_ENCFF814CZI-1.9.json
GM12878,RCOR1,ENCFF489JLD,ENCFF898MUV,16.10,11.53,0.00053,0.01634,0.95,s3://chipmunk-encode-models/GM12878_RCOR1_ENCFF489JLD_ENCFF898MUV-1.9.json
GM12878,RCOR1,ENCFF934EQK,ENCFF898MUV,15.99,11.41,0.00053,0.01741,0.97,s3://chipmunk-encode-models/GM12878_RCOR1_ENCFF934EQK_ENCFF898MUV-1.9.json
GM12878,REST,ENCFF400ZBQ,ENCFF048JKT,21.53,8.00,0.00022,0.02955,0.91,s3://chipmunk-encode-models/GM12878_REST_ENCFF400ZBQ_ENCFF048JKT-1.9.json
GM12878,REST,ENCFF480ZVD,ENCFF048JKT,21.21,8.65,0.00023,0.03476,0.89,s3://chipmunk-encode-models/GM12878_REST_ENCFF480ZVD_ENCFF048JKT-1.9.json
GM12878,REST,ENCFF753DEQ,ENCFF677KJB,20.97,9.17,0.00026,0.04039,0.93,s3://chipmunk-encode-models/GM12878_REST_ENCFF753DEQ_ENCFF677KJB-1.9.json
GM12878,REST,ENCFF929UNL,ENCFF677KJB,21.63,7.81,0.00022,0.01767,0.86,s3://chipmunk-encode-models/GM12878_REST_ENCFF929UNL_ENCFF677KJB-1.9.json
GM12878,RFX5,ENCFF748LVZ,ENCFF402FYF,21.25,8.56,0.00025,0.01600,0.96,s3://chipmunk-encode-models/GM12878_RFX5_ENCFF748LVZ_ENCFF402FYF-1.9.json
GM12878,RFX5,ENCFF834ABA,ENCFF402FYF,21.29,8.48,0.00026,0.00972,0.94,s3://chipmunk-encode-models/GM12878_RFX5_ENCFF834ABA_ENCFF402FYF-1.9.json
GM12878,RUNX3,ENCFF102ABY,ENCFF248QFF,15.40,11.68,0.00264,0.20059,0.93,s3://chipmunk-encode-models/GM12878_RUNX3_ENCFF102ABY_ENCFF248QFF-1.9.json
GM12878,RUNX3,ENCFF274RRW,ENCFF248QFF,16.01,11.27,0.00260,0.25541,0.90,s3://chipmunk-encode-models/GM12878_RUNX3_ENCFF274RRW_ENCFF248QFF-1.9.json
GM12878,RXRA,ENCFF336YAA,ENCFF461FGJ,20.98,9.15,0.00005,0.00470,0.57,s3://chipmunk-encode-models/GM12878_RXRA_ENCFF336YAA_ENCFF461FGJ-1.9.json
GM12878,RXRA,ENCFF532MNB,ENCFF461FGJ,20.98,9.15,0.00005,0.00377,0.62,s3://chipmunk-encode-models/GM12878_RXRA_ENCFF532MNB_ENCFF461FGJ-1.9.json
GM12878,SIN3A,ENCFF610LIO,ENCFF778DJD,9.94,18.48,0.00089,0.03070,0.94,s3://chipmunk-encode-models/GM12878_SIN3A_ENCFF610LIO_ENCFF778DJD-1.9.json
GM12878,SIN3A,ENCFF980MUI,ENCFF778DJD,12.05,15.90,0.00089,0.02469,0.95,s3://chipmunk-encode-models/GM12878_SIN3A_ENCFF980MUI_ENCFF778DJD-1.9.json
GM12878,SIX5,ENCFF549IYK,ENCFF606WUV,21.08,8.93,0.00019,0.01650,0.69,s3://chipmunk-encode-models/GM12878_SIX5_ENCFF549IYK_ENCFF606WUV-1.9.json
GM12878,SIX5,ENCFF579QFZ,ENCFF606WUV,20.98,9.16,0.00019,0.03368,0.66,s3://chipmunk-encode-models/GM12878_SIX5_ENCFF579QFZ_ENCFF606WUV-1.9.json
GM12878,SMAD5,ENCFF065YFX,ENCFF711TMS,4.07,44.33,0.00065,0.02070,0.94,s3://chipmunk-encode-models/GM12878_SMAD5_ENCFF065YFX_ENCFF711TMS-1.9.json
GM12878,SMAD5,ENCFF586VPX,ENCFF711TMS,4.25,43.38,0.00066,0.03717,0.92,s3://chipmunk-encode-models/GM12878_SMAD5_ENCFF586VPX_ENCFF711TMS-1.9.json
GM12878,SMC3,ENCFF243VQR,ENCFF686FLD,21.06,8.98,0.00119,0.03265,0.95,s3://chipmunk-encode-models/GM12878_SMC3_ENCFF243VQR_ENCFF686FLD-1.9.json
GM12878,SMC3,ENCFF784URN,ENCFF686FLD,21.13,8.82,0.00116,0.11202,0.94,s3://chipmunk-encode-models/GM12878_SMC3_ENCFF784URN_ENCFF686FLD-1.9.json
GM12878,SPI1,ENCFF395MZI,ENCFF306SRV,20.84,9.48,0.00153,0.12127,0.73,s3://chipmunk-encode-models/GM12878_SPI1_ENCFF395MZI_ENCFF306SRV-1.9.json
GM12878,SPI1,ENCFF829GYW,ENCFF306SRV,21.14,8.80,0.00158,0.14272,0.84,s3://chipmunk-encode-models/GM12878_SPI1_ENCFF829GYW_ENCFF306SRV-1.9.json
GM12878,SRF,ENCFF351NJK,ENCFF199WGD,21.00,9.10,0.00010,0.00669,0.92,s3://chipmunk-encode-models/GM12878_SRF_ENCFF351NJK_ENCFF199WGD-1.9.json
GM12878,SRF,ENCFF497WHG,ENCFF199WGD,21.02,9.05,0.00010,0.00861,0.92,s3://chipmunk-encode-models/GM12878_SRF_ENCFF497WHG_ENCFF199WGD-1.9.json
GM12878,SRF,ENCFF716XWN,ENCFF030NYG,20.86,9.43,0.00030,0.03293,0.69,s3://chipmunk-encode-models/GM12878_SRF_ENCFF716XWN_ENCFF030NYG-1.9.json
GM12878,SRF,ENCFF767IVC,ENCFF030NYG,20.87,9.40,0.00030,0.03378,0.71,s3://chipmunk-encode-models/GM12878_SRF_ENCFF767IVC_ENCFF030NYG-1.9.json
GM12878,STAT1,ENCFF197DCB,ENCFF002CPO,19.21,9.91,0.00009,0.00272,0.96,s3://chipmunk-encode-models/GM12878_STAT1_ENCFF197DCB_ENCFF002CPO-1.9.json
GM12878,STAT1,ENCFF409QYO,ENCFF002CPO,13.88,13.73,0.00009,0.00233,0.96,s3://chipmunk-encode-models/GM12878_STAT1_ENCFF409QYO_ENCFF002CPO-1.9.json
GM12878,STAT3,ENCFF679KFQ,ENCFF014RBU,21.11,8.87,0.00031,0.00897,0.95,s3://chipmunk-encode-models/GM12878_STAT3_ENCFF679KFQ_ENCFF014RBU-1.9.json
GM12878,STAT3,ENCFF981NUX,ENCFF014RBU,21.17,8.74,0.00031,0.01098,0.96,s3://chipmunk-encode-models/GM12878_STAT3_ENCFF981NUX_ENCFF014RBU-1.9.json
GM12878,STAT5A,ENCFF023ZGL,ENCFF492YMU,4.75,41.02,0.00076,0.02966,0.94,s3://chipmunk-encode-models/GM12878_STAT5A_ENCFF023ZGL_ENCFF492YMU-1.9.json
GM12878,STAT5A,ENCFF983VNV,ENCFF492YMU,4.38,42.72,0.00076,0.02545,0.96,s3://chipmunk-encode-models/GM12878_STAT5A_ENCFF983VNV_ENCFF492YMU-1.9.json
GM12878,TAF1,ENCFF097OFH,ENCFF544NRC,21.21,8.64,0.00067,0.05749,0.86,s3://chipmunk-encode-models/GM12878_TAF1_ENCFF097OFH_ENCFF544NRC-1.9.json
GM12878,TAF1,ENCFF686PRS,ENCFF544NRC,21.30,8.46,0.00067,0.03799,0.96,s3://chipmunk-encode-models/GM12878_TAF1_ENCFF686PRS_ENCFF544NRC-1.9.json
GM12878,TARDBP,ENCFF145KYA,ENCFF374HJR,21.40,8.26,0.00025,0.01136,0.96,s3://chipmunk-encode-models/GM12878_TARDBP_ENCFF145KYA_ENCFF374HJR-1.9.json
GM12878,TARDBP,ENCFF512IQR,ENCFF374HJR,21.39,8.27,0.00025,0.01465,0.97,s3://chipmunk-encode-models/GM12878_TARDBP_ENCFF512IQR_ENCFF374HJR-1.9.json
GM12878,TARDBP,ENCFF659OTN,ENCFF733UTZ,11.58,17.46,0.00127,0.04773,0.96,s3://chipmunk-encode-models/GM12878_TARDBP_ENCFF659OTN_ENCFF733UTZ-1.9.json
GM12878,TARDBP,ENCFF659OTN,ENCFF733UTZ,14.28,16.10,0.00127,0.04913,0.96,s3://chipmunk-encode-models/GM12878_TARDBP_ENCFF659OTN_ENCFF733UTZ.paired-1.9.json
GM12878,TARDBP,ENCFF673WUM,ENCFF733UTZ,10.41,19.57,0.00127,0.05019,0.95,s3://chipmunk-encode-models/GM12878_TARDBP_ENCFF673WUM_ENCFF733UTZ-1.9.json
GM12878,TARDBP,ENCFF673WUM,ENCFF733UTZ,14.56,15.81,0.00127,0.05159,0.95,s3://chipmunk-encode-models/GM12878_TARDBP_ENCFF673WUM_ENCFF733UTZ.paired-1.9.json
GM12878,TBL1XR1,ENCFF444FLD,ENCFF957YRU,21.41,8.24,0.00078,0.03519,0.96,s3://chipmunk-encode-models/GM12878_TBL1XR1_ENCFF444FLD_ENCFF957YRU-1.9.json
GM12878,TBL1XR1,ENCFF644ZOB,ENCFF957YRU,21.30,8.46,0.00076,0.02370,0.95,s3://chipmunk-encode-models/GM12878_TBL1XR1_ENCFF644ZOB_ENCFF957YRU-1.9.json
GM12878,TBP,ENCFF096FSP,ENCFF490VYC,21.23,8.60,0.00101,0.06564,0.93,s3://chipmunk-encode-models/GM12878_TBP_ENCFF096FSP_ENCFF490VYC-1.9.json
GM12878,TBP,ENCFF641CUP,ENCFF490VYC,21.23,8.61,0.00101,0.04737,0.93,s3://chipmunk-encode-models/GM12878_TBP_ENCFF641CUP_ENCFF490VYC-1.9.json
GM12878,TCF12,ENCFF766QXX,ENCFF160WLU,21.05,8.99,0.00084,0.06397,0.96,s3://chipmunk-encode-models/GM12878_TCF12_ENCFF766QXX_ENCFF160WLU-1.9.json
GM12878,TCF12,ENCFF874QHT,ENCFF160WLU,21.02,9.06,0.00081,0.08603,0.84,s3://chipmunk-encode-models/GM12878_TCF12_ENCFF874QHT_ENCFF160WLU-1.9.json
GM12878,TCF3,ENCFF042PES,ENCFF002CIA,21.20,8.68,0.00057,0.06599,0.92,s3://chipmunk-encode-models/GM12878_TCF3_ENCFF042PES_ENCFF002CIA-1.9.json
GM12878,TCF3,ENCFF698CID,ENCFF002CIA,21.26,8.55,0.00058,0.05188,0.86,s3://chipmunk-encode-models/GM12878_TCF3_ENCFF698CID_ENCFF002CIA-1.9.json
GM12878,TCF7,ENCFF856LVF,ENCFF305ICK,21.08,8.93,0.00041,0.01541,0.94,s3://chipmunk-encode-models/GM12878_TCF7_ENCFF856LVF_ENCFF305ICK-1.9.json
GM12878,TCF7,ENCFF943VWM,ENCFF305ICK,21.34,8.37,0.00040,0.01998,0.95,s3://chipmunk-encode-models/GM12878_TCF7_ENCFF943VWM_ENCFF305ICK-1.9.json
GM12878,UBTF,ENCFF117OQA,ENCFF745TNJ,21.08,8.94,0.00005,0.00190,0.86,s3://chipmunk-encode-models/GM12878_UBTF_ENCFF117OQA_ENCFF745TNJ-1.9.json
GM12878,UBTF,ENCFF481YNF,ENCFF745TNJ,21.02,9.06,0.00005,0.00174,0.92,s3://chipmunk-encode-models/GM12878_UBTF_ENCFF481YNF_ENCFF745TNJ-1.9.json
GM12878,USF1,ENCFF798UJL,ENCFF805GKD,20.99,9.12,0.00027,0.02611,0.90,s3://chipmunk-encode-models/GM12878_USF1_ENCFF798UJL_ENCFF805GKD-1.9.json
GM12878,USF1,ENCFF845IBA,ENCFF805GKD,20.99,9.12,0.00027,0.03384,0.85,s3://chipmunk-encode-models/GM12878_USF1_ENCFF845IBA_ENCFF805GKD-1.9.json
GM12878,USF2,ENCFF848OVF,ENCFF372DRC,21.07,8.94,0.00027,0.02513,0.96,s3://chipmunk-encode-models/GM12878_USF2_ENCFF848OVF_ENCFF372DRC-1.9.json
GM12878,USF2,ENCFF854MYU,ENCFF372DRC,21.20,8.67,0.00028,0.01991,0.97,s3://chipmunk-encode-models/GM12878_USF2_ENCFF854MYU_ENCFF372DRC-1.9.json
GM12878,WRNIP1,ENCFF366GBN,ENCFF277VDY,21.07,8.96,0.00035,0.01284,0.96,s3://chipmunk-encode-models/GM12878_WRNIP1_ENCFF366GBN_ENCFF277VDY-1.9.json
GM12878,WRNIP1,ENCFF775OFL,ENCFF277VDY,21.07,8.96,0.00034,0.01141,0.96,s3://chipmunk-encode-models/GM12878_WRNIP1_ENCFF775OFL_ENCFF277VDY-1.9.json
GM12878,YY1,ENCFF448GPH,ENCFF967ACD,9.66,17.85,0.00164,0.12977,0.90,s3://chipmunk-encode-models/GM12878_YY1_ENCFF448GPH_ENCFF967ACD-1.9.json
GM12878,YY1,ENCFF481GPP,ENCFF002CPV,20.96,9.20,0.00011,0.00703,0.97,s3://chipmunk-encode-models/GM12878_YY1_ENCFF481GPP_ENCFF002CPV-1.9.json
GM12878,YY1,ENCFF975UGB,ENCFF967ACD,9.59,17.67,0.00165,0.15403,0.86,s3://chipmunk-encode-models/GM12878_YY1_ENCFF975UGB_ENCFF967ACD-1.9.json
GM12878,ZBED1,ENCFF414RUN,ENCFF123WEZ,6.13,29.97,0.00085,0.03152,0.94,s3://chipmunk-encode-models/GM12878_ZBED1_ENCFF414RUN_ENCFF123WEZ-1.9.json
GM12878,ZBED1,ENCFF423UJN,ENCFF123WEZ,5.69,33.78,0.00086,0.02462,0.91,s3://chipmunk-encode-models/GM12878_ZBED1_ENCFF423UJN_ENCFF123WEZ-1.9.json
GM12878,ZBTB33,ENCFF643YAD,ENCFF394CWJ,20.95,9.21,0.00009,0.00893,0.96,s3://chipmunk-encode-models/GM12878_ZBTB33_ENCFF643YAD_ENCFF394CWJ-1.9.json
GM12878,ZBTB33,ENCFF776FZQ,ENCFF394CWJ,20.99,9.13,0.00009,0.00862,0.97,s3://chipmunk-encode-models/GM12878_ZBTB33_ENCFF776FZQ_ENCFF394CWJ-1.9.json
GM12878,ZEB1,ENCFF390ZIU,ENCFF997NGJ,21.28,8.49,0.00028,0.01818,0.66,s3://chipmunk-encode-models/GM12878_ZEB1_ENCFF390ZIU_ENCFF997NGJ-1.9.json
GM12878,ZEB1,ENCFF843JHA,ENCFF997NGJ,21.14,8.80,0.00029,0.03172,0.63,s3://chipmunk-encode-models/GM12878_ZEB1_ENCFF843JHA_ENCFF997NGJ-1.9.json
GM12878,ZFP36,ENCFF318CLL,ENCFF144FCI,21.00,9.11,0.00036,0.01688,0.93,s3://chipmunk-encode-models/GM12878_ZFP36_ENCFF318CLL_ENCFF144FCI-1.9.json
GM12878,ZFP36,ENCFF638IWQ,ENCFF144FCI,21.09,8.90,0.00036,0.01540,0.90,s3://chipmunk-encode-models/GM12878_ZFP36_ENCFF638IWQ_ENCFF144FCI-1.9.json
GM12878,ZNF143,ENCFF530MSA,ENCFF141SAU,21.41,8.24,0.00135,0.12987,0.88,s3://chipmunk-encode-models/GM12878_ZNF143_ENCFF530MSA_ENCFF141SAU-1.9.json
GM12878,ZNF143,ENCFF790BKQ,ENCFF141SAU,21.18,8.71,0.00138,0.09963,0.90,s3://chipmunk-encode-models/GM12878_ZNF143_ENCFF790BKQ_ENCFF141SAU-1.9.json
GM12878,ZNF274,ENCFF221WYC,ENCFF002CPX,7.98,25.71,0.00002,0.00238,0.98,s3://chipmunk-encode-models/GM12878_ZNF274_ENCFF221WYC_ENCFF002CPX-1.9.json
GM12878,ZNF274,ENCFF950AEP,ENCFF002CPX,4.47,42.29,0.00002,0.00359,1.00,s3://chipmunk-encode-models/GM12878_ZNF274_ENCFF950AEP_ENCFF002CPX-1.9.json
GM12878,ZNF384,ENCFF440GGE,ENCFF371OGO,21.24,8.58,0.00059,0.03640,0.94,s3://chipmunk-encode-models/GM12878_ZNF384_ENCFF440GGE_ENCFF371OGO-1.9.json
GM12878,ZNF384,ENCFF725PVP,ENCFF371OGO,21.20,8.67,0.00059,0.02182,0.90,s3://chipmunk-encode-models/GM12878_ZNF384_ENCFF725PVP_ENCFF371OGO-1.9.json
GM12878,ZZZ3,ENCFF380FAI,ENCFF310XJC,20.88,9.39,0.00002,0.00136,0.94,s3://chipmunk-encode-models/GM12878_ZZZ3_ENCFF380FAI_ENCFF310XJC-1.9.json
GM12878,ZZZ3,ENCFF540GCE,ENCFF310XJC,21.13,8.82,0.00002,0.00159,0.94,s3://chipmunk-encode-models/GM12878_ZZZ3_ENCFF540GCE_ENCFF310XJC-1.9.json
